"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2021-12-29","2520.55","2538.78","2512.41","2524.5","0.22","3623480291.76"
"NEPSE","2021-12-28","2523.87","2533.63","2486.05","2518.99","-0.11","3125575631.56"
"NEPSE","2021-12-27","2600.21","2616.27","2518.16","2521.65","-2.69","5607439670.68"
"NEPSE","2021-12-26","2531.43","2596.43","2531.15","2591.42","2.82","5173200503.38"
"NEPSE","2021-12-23","2522.51","2542.29","2485.38","2520.23","0.50","4490266410.23"
"NEPSE","2021-12-22","2425.05","2509.27","2424.38","2507.7","3.82","4523338143.26"
"NEPSE","2021-12-21","2360.33","2415.55","2360.32","2415.55","2.41","2383259846.99"
"NEPSE","2021-12-20","2390.81","2390.81","2346.6","2358.81","-0.75","2464689862.61"
"NEPSE","2021-12-16","2415.77","2418.87","2371.73","2376.74","-1.57","2301751967.91"
"NEPSE","2021-12-15","2433.2","2493.07","2379.09","2414.62","-0.17","4588390677.73"
"NEPSE","2021-12-14","2283.67","2418.84","2283.67","2418.85","6.01","1842647144.18"
"NEPSE","2021-12-13","2351.93","2351.93","2259.51","2282.01","-3.36","3995604177.84"
"NEPSE","2021-12-12","2448.66","2455.72","2359.95","2361.27","-3.62","3382509520.17"
"NEPSE","2021-12-09","2454.42","2465.08","2428.33","2449.97","-0.24","2673308791.68"
"NEPSE","2021-12-08","2508.29","2511.69","2448.78","2455.81","-2.12","2663909619.74"
"NEPSE","2021-12-07","2549.36","2590.76","2505.86","2508.91","-1.46","3128341700.27"
"NEPSE","2021-12-06","2508.96","2549.5","2438.86","2546.09","1.28","4542345271.36"
"NEPSE","2021-12-05","2586.83","2587.57","2504.69","2513.89","-2.80","4090765324.93"
"NEPSE","2021-12-02","2633.64","2645.57","2580.6","2584.61","-1.86","3413589126.02"
"NEPSE","2021-12-01","2628.69","2649.99","2628.48","2633.66","0.20","2742085704.34"
"NEPSE","2021-11-30","2630.32","2648.04","2603.9","2628.37","-0.06","3089041990.69"
"NEPSE","2021-11-29","2650.54","2677.87","2621.8","2629.98","-0.81","4008937133.19"
"NEPSE","2021-11-28","2731.78","2733.35","2644.6","2651.49","-2.94","5835135054.76"
"NEPSE","2021-11-25","2736.85","2746.55","2720.84","2731.78","-0.12","3789709330.9"
"NEPSE","2021-11-24","2737.09","2743.22","2694.06","2735.01","0.07","4217415336.52"
"NEPSE","2021-11-23","2765.68","2765.68","2719.99","2733.14","-1.17","4165896577.73"
"NEPSE","2021-11-22","2758.99","2778.28","2758.64","2765.44","0.29","3929261627.44"
"NEPSE","2021-11-21","2771.76","2780.04","2750.49","2755.54","-0.50","7667168.7000003"
